,user_ids
479,G-3712-2011
480,B-6746-2009
481,E-8254-2010
482,J-4344-2014
483,F-2264-2010
484,K-1045-2015
485,B-4258-2009
486,A-3299-2016
487,A-3681-2012
488,G-7539-2015
489,B-1062-2015
490,L-6796-2016
491,F-7455-2012
492,M-6024-2016
493,O-2661-2017
494,C-3018-2017
495,G-2358-2012
496,L-9355-2014
497,F-6036-2010
498,A-4931-2014
499,D-7732-2012
500,O-8018-2016
501,A-4780-2011
502,M-8425-2014
503,H-8279-2017
504,R-9561-2017
505,A-7297-2011
506,A-1247-2009
507,D-4433-2012
508,R-6178-2017
509,C-6356-2015
510,A-5966-2015
511,C-6475-2009
512,E-2646-2015
513,A-9315-2013
514,E-4597-2011
515,D-1762-2009
516,B-5944-2012
517,G-1640-2011
518,E-2612-2011
519,E-5508-2015
520,E-4590-2013
521,B-9420-2008
522,F-4546-2010
523,F-8984-2015
524,B-6158-2009
525,P-9902-2017
526,S-4973-2016
527,F-9867-2016
528,G-8645-2013
529,B-6876-2015
530,M-7360-2017
531,G-4035-2017
532,B-1775-2016
533,E-8169-2015
534,C-8702-2015
535,G-8176-2011
536,J-8388-2017
537,N-5686-2018
538,I-6813-2013
539,G-2550-2017
540,I-5496-2013
541,A-7694-2012
542,B-6108-2016
543,C-3034-2008
544,I-5953-2013
545,F-9764-2010
546,O-8006-2016
547,C-5532-2014
548,A-6247-2016
549,M-7746-2017
550,E-4578-2011
551,H-5325-2013
552,L-9073-2015
553,G-3080-2010
554,C-7825-2017
555,G-3597-2016
556,F-2477-2010
557,M-6541-2013
558,E-7781-2013
559,O-8973-2017
560,F-5446-2011
561,J-2642-2014
562,A-2371-2010
563,N-9210-2017
564,F-6295-2011
565,E-4457-2014
566,P-5928-2014
567,C-8863-2012
568,S-1460-2017
569,A-7205-2013
570,A-5181-2009
571,A-9675-2011
572,E-3488-2010
573,A-9728-2012
574,B-1017-2016
575,N-1515-2016
576,E-6172-2014
577,K-6781-2018
578,C-3735-2015
579,M-2443-2017
580,K-6117-2017
581,C-4092-2015
582,G-3133-2011
583,F-7195-2017
584,L-1815-2015
585,D-9476-2017
586,H-9730-2013
587,C-3808-2009
588,E-9981-2014
589,I-7800-2015
590,A-5229-2009
591,D-4899-2018
592,E-7831-2015
593,C-5430-2008
594,N-4175-2017
595,D-6922-2012
596,D-8351-2017
597,A-8742-2010
598,E-7843-2012
599,B-8953-2008
600,F-8321-2016
601,C-6066-2014
602,F-5345-2015
603,U-7190-2017
604,E-3762-2012
605,H-1780-2011
606,H-5997-2016
607,C-9139-2016
608,D-6040-2017
609,K-7915-2013
610,A-1279-2007
611,I-3365-2013
612,G-1800-2015
613,E-4144-2015
614,F-5295-2011
615,G-4548-2012
616,N-8224-2013
617,A-5748-2009
618,C-6794-2011
619,K-8432-2013
620,C-3513-2013
621,A-2547-2009
622,B-2371-2013
623,K-5795-2018
624,G-9795-2017
625,M-5523-2017
626,P-3626-2015
